# Data catalog: 8600486 objects, total weight: 8600486
# Random catalog: 8618303 objects, total weight: 8618303
# Box size: [6000, 6000, 6000]
# Box boundaries: [[-3954.69,2045.31], [-3106.79,2893.21], [-2077.4,3922.6]]
# Grid size: 512 , assignment scheme: TSC , grid interlacing: disabled
# Shot noise: 1201.421678 , normalisation: 161.147603 
# kcen(1) kmin(2) kmax(3) kavg(4) nmod(5) P_0(6) P_2(7) P_4(8)
0.1385 0.138 0.139 0.1385039843 207438 3810.000962 1847.449952 240.5180367
0.1395 0.139 0.14 0.1394985767 212930 3793.712497 1776.634193 163.1691592
0.1405 0.14 0.141 0.1405008999 217122 3700.298753 1838.149135 229.8917709
0.1415 0.141 0.142 0.1415037634 219326 3625.017078 1915.103954 30.66578547
0.1425 0.142 0.143 0.142503114 221538 3560.572944 1873.178126 143.622208
0.1435 0.143 0.144 0.1435023503 225818 3583.545527 1817.889374 67.22890454
0.1445 0.144 0.145 0.1445041354 228822 3496.394555 1776.499758 85.44399994
0.1455 0.145 0.146 0.1455048005 231602 3439.629802 1840.253774 165.2943112
0.1465 0.146 0.147 0.1465038013 234482 3378.922807 1789.559083 166.9553116
0.1475 0.147 0.148 0.1475025643 237918 3364.94208 1731.006871 145.1447651
0.1485 0.148 0.149 0.1485002614 240146 3289.327822 1718.99026 214.1013453
0.1495 0.149 0.15 0.1495008348 246330 3236.459402 1750.491147 188.8337267
0.1505 0.15 0.151 0.1505061153 248630 3178.253554 1671.332138 270.8606249
0.1515 0.151 0.152 0.1515054869 249978 3224.177073 1518.71808 303.3744525
0.1525 0.152 0.153 0.1525003534 253346 3146.90881 1436.547828 368.3958529
0.1535 0.153 0.154 0.1534992862 258246 3103.386136 1509.474921 312.6815276
0.1545 0.154 0.155 0.1544999916 261122 2988.963237 1559.455351 289.3380352
0.1555 0.155 0.156 0.1554979354 263756 2952.750886 1574.623918 226.8194238
0.1565 0.156 0.157 0.156498472 268962 2906.026427 1461.846186 275.9152496
0.1575 0.157 0.158 0.1575009981 271910 2924.579978 1405.168928 257.7204169
0.1585 0.158 0.159 0.1585011966 274698 2877.252602 1360.885046 320.2730679
0.1595 0.159 0.16 0.1594990485 277202 2842.086421 1381.014907 271.109736
0.1605 0.16 0.161 0.1605014614 284478 2797.511174 1317.178587 293.6523757
0.1615 0.161 0.162 0.1615030465 283874 2816.583936 1325.747949 198.3436989
0.1625 0.162 0.163 0.1625016178 289290 2734.701219 1332.894901 243.1759438
0.1635 0.163 0.164 0.1635041671 294014 2693.700232 1386.660545 184.9288657
0.1645 0.164 0.165 0.1645053813 295362 2672.266332 1350.975412 136.0071302
0.1655 0.165 0.166 0.1655034319 299066 2651.133229 1317.702657 158.6734554
0.1665 0.166 0.167 0.1665024642 303782 2671.729501 1305.259765 103.6004145
0.1675 0.167 0.168 0.1675020428 306210 2622.618878 1303.282693 104.7105077
0.1685 0.168 0.169 0.1684991675 309578 2566.360042 1307.571788 140.2421383
0.1695 0.169 0.17 0.1694971015 314382 2585.3966 1273.828749 118.4294689
0.1705 0.17 0.171 0.1704965355 317714 2553.524184 1223.024856 148.2703185
0.1715 0.171 0.172 0.1714997217 324066 2528.169128 1240.198389 212.5891694
